"area","age","tree","block","clone","dist_row","dist_col","row","col","dbh","hei","vol","mai"
1,3,1,1,"C6780",2,3,42,1,12.9,18.3,0.102846341,52.68397771
1,3,2,1,"C6721",2,3,42,2,12.8,18,0.099598038,53.57100458
1,3,3,1,"C6730",2,3,42,3,10.1,16.5,0.056844052,27.66294059
1,3,4,1,"1046",2,3,42,4,12.1,19.2,0.094935864,51.06335144
1,3,5,1,"C6763",2,3,42,5,10.2,18.9,0.066408013,35.71901662
1,3,6,1,"C6660",2,3,42,6,14.3,19.8,0.136740008,73.54863403
1,3,7,1,"C6663",2,3,42,7,10.6,16.5,0.062611486,33.67697084
1,3,8,1,"C6692",2,3,42,8,12.7,17.4,0.094779634,50.97931977
1,3,9,1,"C6686",2,3,42,9,10.1,17.7,0.060978165,32.79845301
1,3,10,1,"C6765",2,3,42,10,12.6,18,0.096509915,51.90998955
1,3,11,1,"C6662",2,3,42,11,7.4,14.4,0.026630803,14.32396587
1,3,12,1,"C6642",2,3,42,12,8,10.2,0.022046441,11.29349055
1,3,13,1,"C6764",2,3,42,13,11.6,17.4,0.079072153,42.53070413
1,3,14,1,"C6633",2,3,42,14,12.1,16.95,0.083810567,42.93272852
1,3,15,1,"C6771",2,3,42,15,NA,NA,NA,NA
1,3,16,1,"C6728",2,3,42,16,10.8,13.95,0.054951564,28.1494404
1,3,17,1,"C6757",2,3,42,17,12.8,0,0.105666219,56.83491024
1,3,18,1,"C6690",2,3,42,18,8,13.5,0.029179113,15.69463025
1,3,19,1,"C6640",2,3,42,19,11.6,16.8,0.076345527,39.10869345
1,3,20,1,"C6639",2,3,42,20,13.8,17.1,0.109979723,59.15502324
1,3,21,1,"C6625",2,3,42,21,10.2,14.7,0.051650677,26.45853083
1,3,22,1,"C6653",2,3,42,22,11.6,17.1,0.07770884,41.79741612
1,3,23,1,"C6762",2,3,42,23,11.9,17.7,0.08464972,45.5307218
1,3,24,1,"C6751",2,3,42,24,11.8,16.5,0.077590097,41.7335477
1,3,25,1,"C6783",2,3,42,25,7.8,15,0.030820438,14.99864813
1,3,26,1,"1274",2,3,42,26,11.7,17.1,0.079054423,40.49634996
1,3,27,1,"C6652",2,3,42,27,13.1,17.7,0.102582716,52.54893331
1,3,28,1,"C6629",2,3,42,28,12.2,17.7,0.088971572,47.85532542
1,3,29,1,"386",2,3,42,29,12.2,18,0.090479565,48.66643263
1,3,30,1,"C6749",2,3,42,30,7.7,13.95,0.027932769,15.02425701
1,3,31,1,"C6688",2,3,42,31,11.8,17.7,0.083233013,42.63687124
1,3,32,1,"C6744",2,3,42,32,9.3,16.2,0.047319402,25.45178569
1,3,33,1,"C6632",2,3,42,33,7.4,14.1,0.026075995,13.35766659
1,3,34,1,"1128",2,3,42,34,11.8,17.7,0.083233013,40.50502768
1,3,35,1,"C6719",2,3,42,35,12.7,18.15,0.098864963,53.17670424
1,3,36,1,"C6699",2,3,42,36,11.2,14.85,0.062910167,33.83762282
1,3,37,1,"C6707",2,3,42,37,8.1,13.5,0.02991315,16.08944829
1,3,38,1,"C7074",2,3,42,38,14.7,20.4,0.14887548,80.07596536
1,3,39,1,"C6775",2,3,42,39,11.6,18.45,0.083843748,42.94972584
1,3,40,1,"57",2,3,42,40,7.7,12.3,0.024628893,13.24719435
1,3,41,1,"C6703",2,3,42,41,11.9,17.4,0.083214979,44.75901465
1,3,42,1,"C6656",2,3,42,42,8.7,15.3,0.039110041,21.03619956
1,3,43,1,"C6756",2,3,42,43,8.4,15.15,0.036101857,14.79480478
1,3,44,1,"C6675",2,3,42,44,11.6,17.55,0.079753809,42.89734813
1,3,45,1,"C6782",2,3,42,45,12,17.1,0.083160471,42.59971068
1,3,46,1,"C6745",2,3,42,46,10.9,16.65,0.066807554,35.93391861
1,3,47,1,"C6738",2,3,42,47,NA,NA,NA,NA
1,3,48,1,"C6638",2,3,42,48,11.8,17.7,0.083233013,44.7687148
1,3,49,1,"C6733",2,3,42,49,14.1,18.9,0.126899049,68.25545649
1,3,50,1,"C6722",2,3,42,50,10.2,15.9,0.055867058,30.04933144
1,3,51,1,"C6493",2,3,41,50,11.6,16.5,0.074982214,40.33084012
1,3,52,1,"C6508",2,3,41,49,12.4,17.1,0.088796903,47.76137562
1,3,53,1,"C6526",2,3,41,48,11.5,16.65,0.074364944,39.99882785
1,3,54,1,"C6561",2,3,41,47,6.8,13.65,0.021316152,11.46536336
1,3,55,1,"C6516",2,3,41,46,15.7,19.35,0.161078884,86.63983575
1,3,56,1,"C6494",2,3,41,45,11.5,16.95,0.075704853,38.78050233
1,3,57,1,"C6589",2,3,41,44,15.1,17.85,0.137451806,73.93149037
1,3,58,1,"C6603",2,3,41,43,11.5,17.1,0.076374807,39.12369262
1,3,59,1,"C6512",2,3,41,42,15.3,18,0.142302885,76.54074989
1,3,60,1,"C6234",2,3,41,41,7.1,14.25,0.02425995,13.04874992
1,3,61,1,"C6497",2,3,41,40,15.1,19.8,0.15246755,82.00803974
1,3,62,1,"C6491",2,3,41,39,12,17.55,0.085348904,45.90679348
1,3,63,1,"C6545",2,3,41,38,13.5,18,0.110789443,59.59054923
1,3,64,1,"C6612",2,3,41,37,14.2,18.45,0.125641003,67.57878905
1,3,65,1,"C6555",2,3,41,36,11.7,17.7,0.081828262,44.01313825
1,3,66,1,"C6489",2,3,41,35,13.1,17.85,0.103452061,55.64397641
1,3,67,1,"C6507",2,3,41,34,14.4,18.45,0.12920511,69.49582274
1,3,68,1,"C6576",2,3,41,33,11.9,16.65,0.079628126,40.79023503
1,3,69,1,"C6550",2,3,41,32,11.8,17.4,0.081822284,44.00992303
1,3,70,1,"C6619",2,3,41,31,10.9,16.5,0.066205684,35.61018962
1,3,71,1,"C6586",2,3,41,30,12.8,17.7,0.09793807,52.67815451
1,3,72,1,"C6595",2,3,41,29,12.3,17.4,0.088903285,47.81859562
1,3,73,1,"C6600",2,3,41,28,11,14.4,0.058844544,30.14365492
1,3,74,1,"C6596",2,3,41,27,9.1,15.45,0.043208541,23.24066842
1,3,75,1,"C6580",2,3,41,26,17.1,18.9,0.186643282,95.60972565
1,3,76,1,"C6521",2,3,41,25,8.1,13.2,0.029248413,10.48793666
1,3,77,1,"C6492",2,3,41,24,11.2,14.4,0.061003798,32.81224031
1,3,78,1,"C6524",2,3,41,23,11.3,13.5,0.058216889,31.31323963
1,3,79,1,"C6269",2,3,41,22,5.6,11.85,0.012550261,6.750434855
1,3,80,1,"C6542",2,3,41,21,12.2,18.45,0.092741554,49.88309345
1,3,81,1,"C6537",2,3,41,20,13.6,18,0.112436847,57.5968018
1,3,82,1,"C6587",2,3,41,19,6.6,11.7,0.017212029,9.257870018
1,3,83,1,"C6604",2,3,41,18,14.5,19.05,0.13526621,72.75591897
1,3,84,1,"C6506",2,3,41,17,7.3,14.85,0.026725787,14.37505516
1,3,85,1,"C6522",2,3,41,16,14.1,19.8,0.132941861,68.10068222
1,3,86,1,"C6599",2,3,41,15,12.2,17.7,0.088971572,45.5765004
1,3,87,1,"C6563",2,3,41,14,9.3,15.6,0.045566832,23.34202568
1,3,88,1,"C6517",2,3,41,13,13.1,16.5,0.095627956,51.43560845
1,3,89,1,"C6525",2,3,41,12,13.6,18.3,0.114310795,61.48458592
1,3,90,1,"C6270",2,3,41,11,9.3,14.7,0.042937976,23.09513887
1,3,91,1,"C6549",2,3,41,10,12,17.85,0.08680786,46.69152499
1,3,92,1,"C6607",2,3,41,9,13.1,17.7,0.102582716,52.54893331
1,3,93,1,"C6498",2,3,41,8,11.9,18.3,0.087519202,47.0741361
1,3,94,1,"C6571",2,3,41,7,14.5,20.1,0.142721828,76.76608773
1,3,95,1,"C6617",2,3,41,6,11.7,17.4,0.080441342,43.26715285
1,3,96,1,"C6543",2,3,41,5,13.6,18.15,0.113373821,60.98061391
1,3,97,1,"C6605",2,3,41,4,10.4,15.45,0.056435646,30.35515875
1,3,98,1,"C6588",2,3,41,3,10.2,15.3,0.053758868,27.53847086
1,3,99,1,"C6578",2,3,41,2,12.4,16.8,0.087239062,42.45455611
1,3,100,1,"C6406",2,3,41,1,12.1,17.25,0.08529394,41.50796983
1,3,101,2,"C6707",2,3,40,1,10.8,17.1,0.067359981,36.23105393
1,3,102,2,"C6738",2,3,40,2,8.5,14.4,0.035136515,15.29915048
1,3,103,2,"C6762",2,3,40,3,12.6,18.15,0.097314164,52.34257279
1,3,104,2,"C6771",2,3,40,4,11.3,16.65,0.07180083,23.90740994
1,3,105,2,"C6730",2,3,40,5,10.6,16.8,0.063749877,31.02363374
1,3,106,2,"C6638",2,3,40,6,12.7,19.5,0.106218555,57.1319963
1,3,107,2,"1128",2,3,40,7,13.1,18.6,0.107798787,52.45986732
1,3,108,2,"C6692",2,3,40,8,12.5,18.9,0.099733295,53.64375573
1,3,109,2,"C6629",2,3,40,9,15.4,18.9,0.151377589,81.4217799
1,3,110,2,"C6699",2,3,40,10,8.8,14.4,0.037660508,20.25653611
1,3,111,2,"C6765",2,3,40,11,11,15.9,0.064974184,34.94779993
1,3,112,2,"57",2,3,40,12,7.8,12.6,0.025889168,13.92506069
1,3,113,2,"C6782",2,3,40,13,11.8,12.6,0.05925062,30.35167105
1,3,114,2,"C6663",2,3,40,14,12.1,17.1,0.084552254,45.47829737
1,3,115,2,"C6763",2,3,40,15,8.4,15.6,0.037174189,19.99495894
1,3,116,2,"C6675",2,3,40,16,13,13.2,0.075338848,40.52266338
1,3,117,2,"C6756",2,3,40,17,5.5,10.8,0.011033352,4.521548238
1,3,118,2,"C6721",2,3,40,18,11.9,16.35,0.078193385,42.05803963
1,3,119,2,"C6780",2,3,40,19,12,16.65,0.080972037,41.47866566
1,3,120,2,"C6751",2,3,40,20,11.9,14.1,0.067432828,36.27023601
1,3,121,2,"C6757",2,3,40,21,10.9,16.2,0.065001944,34.96273162
1,3,122,2,"C6686",2,3,40,22,8.8,14.4,0.037660508,20.25653611
1,3,123,2,"C6656",2,3,40,23,11.2,16.2,0.068629273,36.91377035
1,3,124,2,"C6722",2,3,40,24,7.8,12.3,0.025272759,13.59351162
1,3,125,2,"C6703",2,3,40,25,12.7,16.2,0.088243107,47.46350462
1,3,126,2,"C6632",2,3,40,26,12.6,18.75,0.100531161,51.4980055
1,3,127,2,"C6662",2,3,40,27,15.4,18.6,0.14897477,80.1293707
1,3,128,2,"C6728",2,3,40,28,7.6,13.5,0.026334149,13.48990838
1,3,129,2,"C6733",2,3,40,29,13.9,18.6,0.121367074,65.27996168
1,3,130,2,"C6775",2,3,40,30,10.8,16.5,0.064996473,33.29503703
1,3,131,2,"C6719",2,3,40,31,10.2,16.2,0.056921154,30.61629996
1,3,132,2,"386",2,3,40,32,13.5,18.9,0.116328915,62.57007669
1,3,133,2,"C6652",2,3,40,33,15.4,18.75,0.150176179,76.92911933
1,3,134,2,"C6639",2,3,40,34,12.3,16.65,0.085071247,45.75744926
1,3,135,2,"C6783",2,3,40,35,NA,NA,NA,NA
1,3,136,2,"1046",2,3,40,36,13.1,18.45,0.106929442,57.51436218
1,3,137,2,"C6625",2,3,40,37,8.7,15.75,0.040260336,20.62372506
1,3,138,2,"C6633",2,3,40,38,13.3,17.25,0.103050646,52.78863453
1,3,139,2,"C6688",2,3,40,39,NA,NA,NA,NA
1,3,140,2,"C6660",2,3,40,40,13.1,17.7,0.102582716,55.17637997
1,3,141,2,"1274",2,3,40,41,6.8,12.15,0.018973718,9.719460304
1,3,142,2,"C6640",2,3,40,42,9,15.75,0.043084783,22.07057379
1,3,143,2,"C6764",2,3,40,43,12.6,17.55,0.094097167,50.61223981
1,3,144,2,"C7074",2,3,40,44,13.1,18.6,0.107798787,57.98195862
1,3,145,2,"C6745",2,3,40,45,14.2,19.35,0.131769833,70.87531535
1,3,146,2,"C6749",2,3,40,46,7.8,13.8,0.028354803,15.25125694
1,3,147,2,"C6690",2,3,40,47,9.3,16.65,0.04863383,26.15877974
1,3,148,2,"C6642",2,3,40,48,14.1,19.2,0.128913319,66.03702518
1,3,149,2,"C6744",2,3,40,49,9.3,15.75,0.046004974,24.74479164
1,3,150,2,"C6653",2,3,40,50,14.5,18.6,0.132070945,71.03727521
1,3,151,2,"C6489",2,3,39,50,12.2,16.5,0.082939601,44.61089658
1,3,152,2,"C6555",2,3,39,49,12,17.25,0.083889949,45.12206197
1,3,153,2,"C6571",2,3,39,48,15.7,20.85,0.173565619,93.35610208
1,3,154,2,"C6543",2,3,39,47,12.7,17.7,0.096413766,51.85827356
1,3,155,2,"C6605",2,3,39,46,14.3,18.3,0.126380917,67.97676782
1,3,156,2,"C6270",2,3,39,45,9.9,14.4,0.04766408,25.63717851
1,3,157,2,"C6521",2,3,39,44,NA,NA,NA,NA
1,3,158,2,"C6612",2,3,39,43,15,18,0.13677709,73.56857929
1,3,159,2,"C6269",2,3,39,42,8.7,12.15,0.031057974,16.7052173
